schema_name,document_type,schema_strata_name,base_path
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/insurance-premium-tax
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/climate-change-levy
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/report-a-benefit-thief-online
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/alcohol-duties
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/childcare-service-helpline
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/corporation-tax-payment
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/statutory-payment-dispute-team
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/international-tax-debt
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/get-help-with-the-eat-out-to-help-out-scheme
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/llinell-gymorth-y-gwasanaeth-gofal-plant
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/debt-collection-confirm-the-identity-of-hmrc-staff
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/annual-tax-on-enveloped-dwellings-ated
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-overseas-repayments-for-non-eu-businesses
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/alcohol-and-tobacco-warehousing-declaration-atwd-online-services-helpdesk
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/inheritance-tax-payments
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-non-uk-residents
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-insolvency
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/bereavement-and-deceased-estate
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/overseas-tax-administrations-help-from-hmrc-experts
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-reliefs-for-disabled-and-older-people
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/complain-about-hmrc-online-services
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/vat-general-enquiries
contact,contact,contact,/government/organisations/hm-revenue-customs/contact/automatic-exchange-of-information-financial-institutions
corporate_information_page,about,corporate_information_page,/government/organisations/water-service-northern-ireland/about
corporate_information_page,personal_information_charter,corporate_information_page,/government/organisations/independent-chief-inspector-of-borders-and-immigration/about/personal-information-charter
corporate_information_page,publication_scheme,corporate_information_page,/government/organisations/government-legal-department/about/publication-scheme
corporate_information_page,about_our_services,corporate_information_page,/government/organisations/homes-england/about-our-services
corporate_information_page,about,corporate_information_page,/government/organisations/industrial-injuries-advisory-council/about
corporate_information_page,about,corporate_information_page,/government/organisations/royal-liverpool-childrens-inquiry/about
corporate_information_page,recruitment,corporate_information_page,/government/organisations/driver-and-vehicle-licensing-agency/about/recruitment
corporate_information_page,accessible_documents_policy,corporate_information_page,/government/organisations/sellafield-ltd/about/accessible-documents-policy
corporate_information_page,accessible_documents_policy,corporate_information_page,/government/organisations/insolvency-service/about/accessible-documents-policy
corporate_information_page,personal_information_charter,corporate_information_page,/government/organisations/office-of-the-secretary-of-state-for-scotland/about/personal-information-charter
corporate_information_page,access_and_opening,corporate_information_page,/government/organisations/low-level-waste-repository-ltd/about/access-and-opening
corporate_information_page,our_governance,corporate_information_page,/government/organisations/intellectual-property-office/about/our-governance
corporate_information_page,about,corporate_information_page,/government/organisations/first-tier-tribunal-war-pensions-and-armed-forces-compensation/about
corporate_information_page,personal_information_charter,corporate_information_page,/government/organisations/driver-and-vehicle-standards-agency/about/personal-information-charter
corporate_information_page,our_governance,corporate_information_page,/government/organisations/advisory-group-on-military-medicine/about/our-governance
corporate_information_page,about,corporate_information_page,/government/organisations/qualifications-and-curriculum-authority/about
corporate_information_page,about,corporate_information_page,/government/organisations/public-prosecution-service-for-northern-ireland/about
corporate_information_page,about,corporate_information_page,/government/organisations/south-east-england-development-agency/about
corporate_information_page,accessible_documents_policy,corporate_information_page,/government/organisations/youth-justice-board-for-england-and-wales/about/accessible-documents-policy
corporate_information_page,our_governance,corporate_information_page,/government/organisations/charity-commission/about/our-governance
corporate_information_page,our_governance,corporate_information_page,/government/organisations/government-digital-service/about/our-governance
corporate_information_page,equality_and_diversity,corporate_information_page,/government/organisations/parole-board/about/equality-and-diversity
corporate_information_page,about,corporate_information_page,/government/organisations/rail-accident-investigation-branch/about
corporate_information_page,about,corporate_information_page,/government/organisations/chemical-and-biological-defence-establishment/about
corporate_information_page,complaints_procedure,corporate_information_page,/government/organisations/criminal-injuries-compensation-authority/about/complaints-procedure
corporate_information_page,about,corporate_information_page,/government/organisations/cabinet-office/about
corporate_information_page,media_enquiries,corporate_information_page,/government/organisations/uk-health-security-agency/about/media-enquiries
corporate_information_page,accessible_documents_policy,corporate_information_page,/government/organisations/animals-in-science-committee/about/accessible-documents-policy
corporate_information_page,recruitment,corporate_information_page,/government/organisations/foreign-commonwealth-development-office/about/recruitment
corporate_information_page,about,corporate_information_page,/government/organisations/family-justice-council/about
corporate_information_page,about,corporate_information_page,/government/organisations/office-of-hm-paymaster-general/about
corporate_information_page,procurement,corporate_information_page,/government/organisations/nuclear-decommissioning-authority/about/procurement
corporate_information_page,media_enquiries,corporate_information_page,/government/organisations/nuclear-decommissioning-authority/about/media-enquiries
corporate_information_page,equality_and_diversity,corporate_information_page,/government/organisations/youth-justice-board-for-england-and-wales/about/equality-and-diversity
corporate_information_page,about,corporate_information_page,/government/organisations/hm-court-service/about
corporate_information_page,social_media_use,corporate_information_page,/government/organisations/maritime-and-coastguard-agency/about/social-media-use
corporate_information_page,about,corporate_information_page,/government/organisations/defence-estates/about
corporate_information_page,recruitment,corporate_information_page,/government/organisations/department-for-business-energy-and-industrial-strategy/about/recruitment
corporate_information_page,accessible_documents_policy,corporate_information_page,/government/organisations/hm-treasury/about/accessible-documents-policy
corporate_information_page,about,corporate_information_page,/government/organisations/bbc-world-service/about
corporate_information_page,about,corporate_information_page,/government/organisations/asset-protection-agency/about
corporate_information_page,about,corporate_information_page,/government/organisations/foreign-commonwealth-development-office/about
corporate_information_page,about,corporate_information_page,/government/organisations/independent-commission-for-aid-impact/about
corporate_information_page,about,corporate_information_page,/government/organisations/north-islington-education-action-zone/about
corporate_information_page,personal_information_charter,corporate_information_page,/government/organisations/ministry-of-justice/about/personal-information-charter
corporate_information_page,statistics,corporate_information_page,/government/organisations/valuation-office-agency/about/statistics
corporate_information_page,about,corporate_information_page,/government/organisations/appeals-service-agency/about
corporate_information_page,complaints_procedure,corporate_information_page,/government/organisations/ministry-of-defence/about/complaints-procedure
corporate_information_page,petitions_and_campaigns,corporate_information_page,/government/organisations/department-for-international-development/about/petitions-and-campaigns
corporate_information_page,about,corporate_information_page,/government/organisations/nhs-professionals/about
corporate_information_page,terms_of_reference,corporate_information_page,/government/organisations/government-legal-department/about/terms-of-reference
corporate_information_page,complaints_procedure,corporate_information_page,/government/organisations/independent-case-examiner/about/complaints-procedure
corporate_information_page,recruitment,corporate_information_page,/government/organisations/maritime-and-coastguard-agency/about/recruitment
corporate_information_page,recruitment,corporate_information_page,/government/organisations/defence-equipment-and-support/about/recruitment
corporate_information_page,publication_scheme,corporate_information_page,/government/organisations/foreign-commonwealth-office/about/publication-scheme
corporate_information_page,about,corporate_information_page,/government/organisations/advisory-committee-on-clinical-excellence-awards/about
corporate_information_page,about,corporate_information_page,/government/organisations/environment-and-heritage-service/about
corporate_information_page,about,corporate_information_page,/government/organisations/government-actuarys-department/about
corporate_information_page,our_governance,corporate_information_page,/government/organisations/animal-and-plant-health-agency/about/our-governance
detailed_guide,detailed_guide,detailed_guide,/guidance/subcontracting-using-funding-to-offer-education-and-training
detailed_guide,detailed_guide,detailed_guide,/guidance/cardiff-33-35-westgate-street
detailed_guide,detailed_guide,detailed_guide,/guidance/residential-bursary-fund-guide-for-the-2020-to-2021-academic-year
detailed_guide,detailed_guide,detailed_guide,/guidance/trusts-and-capital-gains-tax
detailed_guide,detailed_guide,detailed_guide,/guidance/central-government-prompt-payment-performance
detailed_guide,detailed_guide,detailed_guide,/guidance/understand-your-fishing-vessel-licence
detailed_guide,detailed_guide,detailed_guide,/guidance/red-meat-slaughterhouses-restraining-stunning-killing-animals
detailed_guide,detailed_guide,detailed_guide,/guidance/pre-sentence-report-pilot-in-15-magistrates-courts
detailed_guide,detailed_guide,detailed_guide,/guidance/open-access-land-management-rights-and-responsibilities
detailed_guide,detailed_guide,detailed_guide,/guidance/rates-and-thresholds-for-employers-2019-to-2020
detailed_guide,detailed_guide,detailed_guide,/guidance/add-another-setting-to-your-nursery-or-other-daycare-organisation-eys
detailed_guide,detailed_guide,detailed_guide,/guidance/oak-processionary-moth-plan-and-manage-risks
detailed_guide,detailed_guide,detailed_guide,/guidance/how-to-return-ilr-final-funding-claims-2014-to-2015-to-the-efa
detailed_guide,detailed_guide,detailed_guide,/guidance/register-for-the-distance-selling-logo
detailed_guide,detailed_guide,detailed_guide,/guidance/unfettered-access-procedure-for-marketing-authorisations-approved-in-northern-ireland
detailed_guide,detailed_guide,detailed_guide,/guidance/use-our-business-services
detailed_guide,detailed_guide,detailed_guide,/guidance/rabies-epidemiology-transmission-and-prevention
detailed_guide,detailed_guide,detailed_guide,/guidance/nispi-pension-schemes-reconciliation-services
detailed_guide,detailed_guide,detailed_guide,/guidance/exhaustion-of-ip-rights-and-parallel-trade
detailed_guide,detailed_guide,detailed_guide,/guidance/articles-made-of-cermet-tariff-notice-7
detailed_guide,detailed_guide,detailed_guide,/guidance/london-public-health-laboratory-services
detailed_guide,detailed_guide,detailed_guide,/guidance/getting-a-customs-guarantee
detailed_guide,detailed_guide,detailed_guide,/guidance/vat-online-services-for-agents
detailed_guide,detailed_guide,detailed_guide,/guidance/investment-management-system-guidance-documents
detailed_guide,detailed_guide,detailed_guide,/guidance/managing-radioactive-substances
detailed_guide,detailed_guide,detailed_guide,/guidance/electricity-meters-feed-in-tariff-fit-scheme
detailed_guide,detailed_guide,detailed_guide,/guidance/how-to-publish-business-appointment-rules-advice
detailed_guide,detailed_guide,detailed_guide,/guidance/animal-welfare
detailed_guide,detailed_guide,detailed_guide,/guidance/commons-registers-apply-to-record-historic-events
detailed_guide,detailed_guide,detailed_guide,/guidance/land-registry-portal-make-an-application-enquiry
detailed_guide,detailed_guide,detailed_guide,/guidance/coronavirus-covid-19-eu-settlement-scheme-guidance-for-applicants
detailed_guide,detailed_guide,detailed_guide,/guidance/manage-the-registered-contact-for-a-junior-isa
detailed_guide,detailed_guide,detailed_guide,/guidance/universal-credit-full-service-and-live-service
detailed_guide,detailed_guide,detailed_guide,/guidance/handling-of-manure-and-slurry-to-reduce-antibiotic-resistance
detailed_guide,detailed_guide,detailed_guide,/guidance/industrial-partnerships-an-overview
detailed_guide,detailed_guide,detailed_guide,/guidance/monitoring-individual-voluntary-arrangement-providers
detailed_guide,detailed_guide,detailed_guide,/guidance/pay-the-vat-due-on-your-one-stop-shop-vat-return
detailed_guide,detailed_guide,detailed_guide,/guidance/check-if-you-need-to-change-your-self-assessment-return-for-seiss
detailed_guide,detailed_guide,detailed_guide,/guidance/how-to-submit-a-govtech-catalyst-challenge
detailed_guide,detailed_guide,detailed_guide,/guidance/defence-industry-warning-advisory-and-reporting-point-warp-and-security-incident-reporting
detailed_guide,detailed_guide,detailed_guide,/guidance/pay-your-independent-school-invoice
detailed_guide,detailed_guide,detailed_guide,/guidance/exceptional-good-distribution-practice-gdp-flexibilities-for-medicines-during-the-coronavirus-covid-19-outbreak
